hypothesis,request_idx,tool_count,acknowledges_distraction,mean_tools,drop_rate,tool_reduction
Technical Jargon Overload,0,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,1,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,2,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,3,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,4,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,5,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,6,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,7,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,8,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,9,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,10,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,11,4,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,12,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,13,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,14,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,15,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,16,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,17,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,18,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,19,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,20,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,21,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,22,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,23,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,24,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,25,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,26,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,27,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,28,3,True,3.033333333333333,0.96,0.8000000000000003
Technical Jargon Overload,29,3,True,3.033333333333333,0.96,0.8000000000000003
Emotional Manipulation,0,3,False,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,1,3,True,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,2,3,False,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,3,3,True,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,4,4,False,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,5,3,True,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,6,3,False,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,7,3,True,3.066666666666667,0.92,0.7666666666666666
Emotional Manipulation,8,3,True,3.066666666666667,0.92,0.7666666666666666
